Leader,From Lap,To Lap,# Of Laps
Kyle Larson,1,35,35
Ty Gibbs,36,40,5
Chase Elliott,41,52,12
Kyle Larson,53,54,2
Christopher Bell,55,55,1
Kyle Larson,56,84,29
Ryan Blaney,85,87,3
Austin Hill,88,88,1
Ryan Blaney,89,99,11
Kyle Larson,100,100,1
Ryan Blaney,101,103,3
Todd Gilliland,104,106,3
Kyle Larson,107,116,10
Denny Hamlin,117,138,22
Ross Chastain,139,167,29
Bubba Wallace,168,172,5
Harrison Burton,173,179,7
Tyler Reddick,180,213,34
Ross Chastain,214,217,4
Joey Logano,218,231,14
Tyler Reddick,232,234,3
Chase Elliott,235,244,10
Denny Hamlin,245,259,15
Chase Elliott,260,276,17
