Rank,Driver,Points,Diff
1,William Byron,3083,
2,Denny Hamlin,3074,-9
3,Chris Buescher,3059,-24
4,Christopher Bell,3057,-26
5,Martin Truex Jr,3056,-27
6,Ross Chastain,3049,-34
7,Brad Keselowski,3045,-38
8,Kyle Larson,3039,-44
9,Bubba Wallace,3037,-46
10,Tyler Reddick,3036,-47
11,Ryan Blaney,3028,-55
12,Kyle Busch,3022,-61
13,Kevin Harvick,2102,-981
14,Ricky Stenhouse Jr,2096,-987
15,Michael McDowell,2087,-996
15,Joey Logano,2087,-996
17,Chase Elliott,667,-2416
18,Ty Gibbs,652,-2431
19,Daniel Suarez,643,-2440
20,Alex Bowman,612,-2471
