Leader,From Lap,To Lap,# Of Laps
Bubba Wallace,1,38,38
A.J. Allmendinger,39,39,1
Alex Bowman,40,40,1
Ty Dillon,41,43,3
Chase Elliott,44,44,1
Bubba Wallace,45,57,13
Ross Chastain,58,58,1
Bubba Wallace,59,76,18
Chris Buescher,77,78,2
Tyler Reddick,79,114,36
J.J. Yeley,115,115,1
Bubba Wallace,116,142,27
Kyle Larson,143,167,25
Erik Jones,168,168,1
Austin Cindric,169,169,1
Kyle Larson,170,170,1
Erik Jones,171,171,1
Kyle Larson,172,210,39
Erik Jones,211,211,1
J.J. Yeley,212,212,1
Kyle Larson,213,246,34
Bubba Wallace,247,261,15
William Byron,262,267,6
