Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,10,10,,
yellow_flag,11,15,5,#45 stopped backstretch,#31
green_flag,16,71,56,,
yellow_flag,72,80,9,end of stage 1,#41
green_flag,81,231,151,,
yellow_flag,232,240,9,end of stage 2,#3
green_flag,241,246,6,,
yellow_flag,247,252,6,"#43,#47,#51 accident turn 2",#14
green_flag,253,257,5,,
yellow_flag,258,263,6,"#2,#41,#42 accident backstretch",none
green_flag,264,400,137,,
Percent of race run under caution: 8.8%             Average green flag run: 60.8 laps
