Rank,Driver,Points,Diff
1,Ryan Blaney,241,
1,Chase Elliott,241,0
3,Martin Truex Jr,222,-19
4,William Byron,218,-23
5,Joey Logano,215,-26
6,Ross Chastain,214,-27
7,Alex Bowman,212,-29
8,Kevin Harvick,193,-48
9,Chase Briscoe,192,-49
10,Kyle Busch,191,-50
11,Aric Almirola,184,-57
12,Kyle Larson,183,-58
12,Tyler Reddick,183,-58
14,Daniel Suarez,171,-70
15,Austin Cindric,170,-71
16,Austin Dillon,158,-83
17,Erik Jones,157,-84
18,Kurt Busch,155,-86
19,Chris Buescher,151,-90
20,Denny Hamlin,148,-93
21,Christopher Bell,147,-94
