driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Denny Hamlin,13,3,1,1,25,8,16,109,93,73,67.0,15,377,94.3,5,1.3,400,106.3
Kevin Harvick,7,9,2,2,25,9,7,125,118,84,67.2,11,382,95.5,0,0.0,400,109.4
William Byron,2,14,3,1,28,7,-10,85,95,44,51.8,31,370,92.5,122,30.5,400,114.7
Martin Truex Jr,6,2,4,1,28,4,6,78,72,42,53.8,34,392,98.0,80,20.0,400,123.2
Kyle Larson,21,10,5,2,32,12,24,111,87,65,58.6,9,338,84.5,0,0.0,400,88.3
Christopher Bell,9,1,6,1,21,6,2,69,67,44,63.8,19,387,96.8,63,15.8,400,111.3
Ryan Blaney,1,5,7,1,20,4,-7,85,92,49,57.6,23,398,99.5,128,32.0,400,116.6
Alex Bowman,28,15,8,2,28,16,37,146,109,52,35.6,17,224,56.0,0,0.0,400,80.8
Kyle Busch,3,8,9,1,25,6,-3,100,103,58,58.0,24,392,98.0,1,0.3,400,108.5
Austin Dillon,25,17,10,3,28,16,-4,111,115,37,33.3,5,174,43.5,0,0.0,400,72.6
Chase Briscoe,4,24,11,4,28,17,-8,102,110,33,32.4,3,170,42.5,0,0.0,400,75.1
Tyler Reddick,16,18,12,6,27,15,7,132,125,50,37.9,11,228,57.0,0,0.0,400,82.2
Brad Keselowski,19,12,13,3,27,13,7,139,132,73,52.5,10,284,71.0,0,0.0,400,89.5
Chase Elliott,15,6,14,2,23,10,3,103,100,62,60.2,8,310,77.5,0,0.0,400,93.7
Chris Buescher,18,11,15,6,27,15,10,144,134,49,34.0,17,219,54.8,0,0.0,400,83.8
Daniel Suarez,14,21,16,2,29,17,-19,111,130,38,34.2,1,131,32.8,0,0.0,400,64.1
Joey Logano,11,7,17,1,20,9,11,113,102,88,77.9,6,354,88.7,1,0.3,399,83.0
Harrison Burton,17,19,18,8,24,17,-9,116,125,32,27.6,5,95,23.8,0,0.0,399,69.4
Ross Chastain,8,4,19,2,26,8,-11,101,112,62,61.4,8,355,89.0,0,0.0,399,86.4
Austin Cindric,20,20,20,5,32,18,15,128,113,28,21.9,5,106,26.6,0,0.0,399,60.6
Aric Almirola,10,13,21,4,28,19,-9,103,112,28,27.2,12,101,25.4,0,0.0,398,67.1
Cole Custer,12,25,22,2,29,23,-14,76,90,4,5.3,14,9,2.3,0,0.0,398,57.0
Erik Jones,5,16,23,3,28,17,-14,84,98,25,29.8,9,166,41.7,0,0.0,398,67.6
Ty Dillon,30,22,24,7,32,22,11,107,96,11,10.3,0,21,5.3,0,0.0,398,53.0
Todd Gilliland,22,26,25,6,30,25,-4,73,77,7,9.6,1,14,3.5,0,0.0,397,48.9
Bubba Wallace,29,23,26,14,30,24,-3,75,78,1,1.3,3,1,0.3,0,0.0,397,51.5
A.J. Allmendinger,26,29,27,21,32,28,-2,33,35,0,0.0,2,0,0.0,0,0.0,396,45.6
Ricky Stenhouse Jr,32,28,28,14,34,26,1,105,104,2,1.9,6,0,0.0,0,0.0,396,45.3
Justin Haley,36,27,29,12,36,26,2,73,71,4,5.5,10,2,0.5,0,0.0,396,50.5
Michael McDowell,24,30,30,20,36,30,-11,40,51,0,0.0,31,0,0.0,0,0.0,395,39.8
Corey LaJoie,31,31,31,27,33,31,-2,18,20,0,0.0,1,0,0.0,0,0.0,392,36.1
Landon Cassill,23,33,32,23,35,32,-15,18,33,0,0.0,1,0,0.0,0,0.0,390,35.1
J.J. Yeley,35,34,33,29,35,33,-4,16,20,0,0.0,2,0,0.0,0,0.0,390,29.9
B.J. McLeod,34,35,34,27,35,34,-8,12,20,0,0.0,0,0,0.0,0,0.0,386,27.5
Kurt Busch,27,37,35,26,37,36,-8,6,14,0,0.0,3,0,0.0,0,0.0,291,29.4
Cody Ware,33,32,36,29,35,33,6,23,17,0,0.0,1,0,0.0,0,0.0,241,30.4
Greg Biffle,37,36,37,35,37,37,0,2,2,0,0.0,0,0,0.0,0,0.0,96,24.2
