Rank,Driver,Wins,Points
1,Kevin Harvick,2,452
2,Joey Logano,2,424
3,Brad Keselowski,2,380
4,Denny Hamlin,2,335
5,Chase Elliott,1,405
6,Martin Truex Jr,1,381
7,Alex Bowman,1,352
8,Ryan Blaney,0,361
9,Kyle Busch,0,326
10,Kurt Busch,0,318
11,Jimmie Johnson,0,301
12,Clint Bowyer,0,288
13,Matt DiBenedetto,0,278
14,Aric Almirola,0,264
15,Erik Jones,0,257
16,William Byron,0,254
