Rank,Driver,Points,Diff
1,Kevin Harvick,452,
2,Joey Logano,424,-28
3,Chase Elliott,405,-47
4,Martin Truex Jr,381,-71
5,Brad Keselowski,380,-72
6,Ryan Blaney,361,-91
7,Alex Bowman,352,-100
8,Denny Hamlin,335,-117
9,Kyle Busch,326,-126
10,Kurt Busch,318,-134
11,Jimmie Johnson,301,-151
12,Clint Bowyer,288,-164
13,Matt DiBenedetto,278,-174
14,Aric Almirola,264,-188
15,Erik Jones,257,-195
16,William Byron,254,-198
17,Austin Dillon,248,-204
18,Tyler Reddick,229,-223
19,Chris Buescher,218,-234
20,Bubba Wallace,207,-245
21,Ricky Stenhouse Jr,201,-251
