Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,5,5,,
yellow_flag,6,8,3,#17 accident turn 2,none
green_flag,9,22,14,,
yellow_flag,23,27,5,#27 accident turn 2,#51
green_flag,28,44,17,,
yellow_flag,45,56,12,rain,#49
green_flag,57,60,4,,
yellow_flag,61,68,8,"#10,11,42,43 accident frontstretch",#4
green_flag,69,76,8,,
yellow_flag,77,81,5,debris turn 4,#7
green_flag,82,106,25,,
yellow_flag,107,111,5,end of stage 1,#66
green_flag,112,134,23,,
yellow_flag,135,138,4,#51 accident turn 2,#66
green_flag,139,211,73,,
yellow_flag,212,216,5,end of stage 2,#6
green_flag,217,334,118,,
Percent of race run under caution: 14.1%             Average green flag run: 31.9 laps
