Leader,From Lap,To Lap,# Of Laps
Kevin Harvick,1,28,28
Alex Bowman,29,45,17
"Martin Truex, Jr.",46,46,1
Brennan Poole,47,47,1
Clint Bowyer,48,81,34
"Martin Truex, Jr.",82,82,1
Clint Bowyer,83,108,26
Alex Bowman,109,134,26
Ryan Blaney,135,138,4
"Martin Truex, Jr.",139,139,1
Ryan Blaney,140,155,16
"Martin Truex, Jr.",156,198,43
Kyle Busch,199,201,3
Matt DiBenedetto,202,203,2
Aric Almirola,204,204,1
Erik Jones,205,206,2
Kyle Busch,207,216,10
Clint Bowyer,217,217,1
Kyle Busch,218,267,50
"Martin Truex, Jr.",268,274,7
Christopher Bell,275,279,5
Kyle Busch,280,282,3
Clint Bowyer,283,310,28
Kyle Busch,311,334,24
