Rank,Driver,Points,Diff
1,Kevin Harvick,4137,
2,Denny Hamlin,4122,-15
3,Brad Keselowski,4120,-17
4,Chase Elliott,4095,-42
4,Alex Bowman,4095,-42
6,Joey Logano,4094,-43
7,Martin Truex Jr,4084,-53
8,Kurt Busch,4039,-98
9,Kyle Busch,2270,-1867
10,Ryan Blaney,2251,-1886
11,Austin Dillon,2244,-1893
12,William Byron,2213,-1924
13,Clint Bowyer,2199,-1938
14,Matt DiBenedetto,2190,-1947
15,Aric Almirola,2181,-1956
16,Cole Custer,2169,-1968
17,Erik Jones,833,-3304
18,Jimmie Johnson,791,-3346
19,Tyler Reddick,749,-3388
20,Christopher Bell,636,-3501
21,Chris Buescher,627,-3510
