Rank,Driver,Points,Diff
1,Martin Truex Jr,2141,
2,Kevin Harvick,2120,-21
3,Kyle Busch,2117,-24
4,Brad Keselowski,2106,-35
5,Denny Hamlin,2105,-36
6,Joey Logano,2101,-40
7,Chase Elliott,2088,-53
8,Kyle Larson,2076,-65
9,Ryan Newman,2065,-76
10,Ryan Blaney,2059,-82
11,Aric Almirola,2054,-87
12,William Byron,2053,-88
13,Alex Bowman,2051,-90
14,Clint Bowyer,2049,-92
15,Kurt Busch,2039,-102
16,Erik Jones,2008,-133
17,Daniel Suarez,700,-1441
18,Jimmie Johnson,666,-1475
19,Paul Menard,608,-1533
20,Chris Buescher,579,-1562
21,Austin Dillon,535,-1606
