Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,101,101,,
yellow_flag,102,108,7,end of stage 1,#12
green_flag,109,112,4,,
yellow_flag,113,116,4,"#3,88,21 accident turn 4",#22
green_flag,117,201,85,,
yellow_flag,202,209,8,end of stage 2,#43
green_flag,210,243,34,,
yellow_flag,244,250,7,#77 accident turn 2,#22
green_flag,251,315,65,,
yellow_flag,316,321,6,"#17,19 accident turn 4",#10
green_flag,322,400,79,,
Percent of race run under caution: 8.0%             Average green flag run: 61.3 laps
