Leader,From Lap,To Lap,# Of Laps
Aric Almirola,1,2,2
Ross Chastain,3,5,3
Aric Almirola,6,7,2
Ross Chastain,8,13,6
Erik Jones,14,15,2
Ross Chastain,16,16,1
Erik Jones,17,20,4
Ross Chastain,21,22,2
Erik Jones,23,25,3
Corey LaJoie,26,26,1
Kyle Busch,27,29,3
Daniel Suarez,30,30,1
Chase Elliott,31,33,3
Daniel Suarez,34,34,1
Aric Almirola,35,35,1
Denny Hamlin,36,38,3
Aric Almirola,39,39,1
Denny Hamlin,40,42,3
Aric Almirola,43,43,1
Denny Hamlin,44,50,7
Cole Custer,51,52,2
Denny Hamlin,53,55,3
William Byron,56,56,1
Denny Hamlin,57,59,3
Ryan Blaney,60,61,2
"Martin Truex, Jr.",62,62,1
Kyle Larson,63,64,2
Erik Jones,65,66,2
Ryan Blaney,67,71,5
Erik Jones,72,72,1
Aric Almirola,73,76,4
Todd Gilliland,77,77,1
Erik Jones,78,78,1
Aric Almirola,79,103,25
Tyler Reddick,104,110,7
Kyle Larson,111,112,2
Tyler Reddick,113,115,3
Kyle Larson,116,116,1
Tyler Reddick,117,117,1
Kyle Larson,118,119,2
Chase Elliott,120,122,3
Landon Cassill,123,123,1
Chase Elliott,124,126,3
Erik Jones,127,127,1
Chris Buescher,128,128,1
Ross Chastain,129,152,24
Ryan Blaney,153,160,8
Denny Hamlin,161,161,1
Kyle Larson,162,162,1
Ryan Blaney,163,168,6
Erik Jones,169,169,1
Ryan Blaney,170,170,1
Erik Jones,171,171,1
Ryan Blaney,172,179,8
Erik Jones,180,186,7
Ryan Blaney,187,187,1
Chase Elliott,188,188,1
