Rank,Driver,Points,Diff
1,Chase Elliott,3103,
2,Ryan Blaney,3101,-2
3,Ross Chastain,3097,-6
4,Denny Hamlin,3090,-13
5,Joey Logano,3087,-16
5,Kyle Larson,3087,-16
7,William Byron,3083,-20
8,Daniel Suarez,3081,-22
9,Chase Briscoe,3069,-34
9,Austin Cindric,3069,-34
11,Christopher Bell,3036,-67
12,Tyler Reddick,2116,-987
13,Austin Dillon,2107,-996
14,Alex Bowman,2104,-999
15,Kyle Busch,2089,-1014
16,Kevin Harvick,2071,-1032
17,Martin Truex Jr,880,-2223
18,Erik Jones,727,-2376
19,Bubba Wallace,678,-2425
20,Aric Almirola,663,-2440
21,Chris Buescher,621,-2482
