Leader,From Lap,To Lap,# Of Laps
Brad Keselowski,1,4,4
Kyle Busch,5,6,2
Austin Dillon,7,7,1
Kurt Busch,8,18,11
Ryan Blaney,19,33,15
Erik Jones,34,34,1
Aric Almirola,35,35,1
Brad Keselowski,36,40,5
Ryan Newman,41,43,3
Brad Keselowski,44,45,2
Kurt Busch,46,46,1
Chase Elliott,47,49,3
Daniel Hemric,50,50,1
William Byron,51,53,3
Joey Logano,54,54,1
William Byron,55,58,4
Bubba Wallace,59,59,1
Ryan Blaney,60,72,13
Joey Logano,73,77,5
Chase Elliott,78,83,6
Brad Keselowski,84,86,3
Chase Elliott,87,89,3
Brad Keselowski,90,93,4
Aric Almirola,94,95,2
Jimmie Johnson,96,97,2
Chase Elliott,98,101,4
Joey Logano,102,103,2
Chase Elliott,104,106,3
Clint Bowyer,107,111,5
Chris Buescher,112,112,1
Brad Keselowski,113,116,4
William Byron,117,117,1
Clint Bowyer,118,125,8
Kyle Busch,126,126,1
Joey Logano,127,133,7
Austin Theriault,134,134,1
"Ricky Stenhouse, Jr.",135,142,8
Joey Logano,143,143,1
"Ricky Stenhouse, Jr.",144,150,7
Kyle Busch,151,153,3
Landon Cassill,154,154,1
William Byron,155,159,5
"Ricky Stenhouse, Jr.",160,175,16
Kurt Busch,176,179,4
"Ricky Stenhouse, Jr.",180,180,1
Kyle Busch,181,181,1
Ryan Blaney,182,188,7
