Rank,Driver,Points,Diff
1,Denny Hamlin,3114,
2,Martin Truex Jr,3106,-8
3,Kyle Busch,3099,-15
4,Kevin Harvick,3094,-20
5,Brad Keselowski,3078,-36
6,Joey Logano,3076,-38
7,Kyle Larson,3069,-45
8,Alex Bowman,3058,-56
9,Ryan Blaney,3056,-58
10,Chase Elliott,3054,-60
11,Clint Bowyer,3052,-62
12,William Byron,3049,-65
13,Aric Almirola,2134,-980
14,Ryan Newman,2120,-994
15,Kurt Busch,2097,-1017
16,Erik Jones,2040,-1074
17,Jimmie Johnson,745,-2369
18,Daniel Suarez,744,-2370
19,Paul Menard,677,-2437
20,Chris Buescher,620,-2494
21,Austin Dillon,606,-2508
