Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,37,37,,
yellow_flag,38,40,3,#52 stopped on track,#00
green_flag,41,56,16,,
yellow_flag,57,62,6,end of stage 1,#51
green_flag,63,107,45,,
yellow_flag,108,116,9,"#1,4,9,11,19,22,34,42,47,48,88 accident turn 3",#20
green_flag,117,122,6,,
yellow_flag,123,125,3,"#43,77 accident backstretch",#17
green_flag,126,132,7,,
yellow_flag,133,137,5,debris backstretch,#11
green_flag,138,153,16,,
yellow_flag,154,157,4,#14 spun turn 3,#15
green_flag,158,163,6,,
yellow_flag,164,169,6,"#1,20,2122,24,41,47,51 accident turn 3",none
green_flag,170,172,3,,
yellow_flag,173,175,3,#41 spun turn 4,#47
green_flag,176,182,7,,
yellow_flag,183,186,4,"#1,2,4,8,17,18,37,38,47,62,95 accident backstretch",#22
green_flag,187,188,2,,
Percent of race run under caution: 22.9%             Average green flag run: 14.5 laps
