Rank,Driver,Points,Diff
1,Kyle Larson,3047,
2,Christopher Bell,3032,-15
3,Tyler Reddick,3028,-19
4,William Byron,3022,-25
5,Ryan Blaney,3019,-28
6,Denny Hamlin,3015,-32
7,Chase Elliott,3014,-33
8,Joey Logano,3012,-35
9,Austin Cindric,3008,-39
10,Daniel Suarez,3006,-41
11,Chase Briscoe,3005,-42
11,Alex Bowman,3005,-42
13,Ty Gibbs,2074,-973
14,Martin Truex Jr,2064,-983
15,Brad Keselowski,2048,-999
16,Harrison Burton,2031,-1016
17,Ross Chastain,766,-2281
18,Chris Buescher,754,-2293
19,Bubba Wallace,737,-2310
20,Kyle Busch,636,-2411
