Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,5,5,,
yellow_flag,6,10,5,#42 accident turn 4,none
green_flag,11,126,116,,
yellow_flag,127,135,9,end of stage 1,#31
green_flag,136,243,108,,
yellow_flag,244,248,5,#22 accident frontstretch,#31
green_flag,249,251,3,,
yellow_flag,252,260,9,end of stage 2,#51
green_flag,261,329,69,,
yellow_flag,330,337,8,"#7,4 accident turn 2",#71
green_flag,338,500,163,,
Percent of race run under caution: 7.2%             Average green flag run: 77.3 laps
