Rank,Driver,Wins,Points
1,Kyle Larson,4,826
2,Martin Truex Jr,3,671
3,Alex Bowman,3,609
4,Kyle Busch,2,739
5,Chase Elliott,2,704
6,William Byron,1,733
7,Joey Logano,1,700
8,Ryan Blaney,1,639
9,Brad Keselowski,1,623
10,Kurt Busch,1,530
11,Christopher Bell,1,492
12,Michael McDowell,1,436
13,Denny Hamlin,0,836
14,Kevin Harvick,0,626
15,Austin Dillon,0,571
16,Tyler Reddick,0,563
