Rank,Driver,Points,Diff
1,Denny Hamlin,836,
2,Kyle Larson,826,-10
3,Kyle Busch,739,-97
4,William Byron,733,-103
5,Chase Elliott,704,-132
6,Joey Logano,700,-136
7,Martin Truex Jr,671,-165
8,Ryan Blaney,639,-197
9,Kevin Harvick,626,-210
10,Brad Keselowski,623,-213
11,Alex Bowman,609,-227
12,Austin Dillon,571,-265
13,Tyler Reddick,563,-273
14,Kurt Busch,530,-306
15,Christopher Bell,492,-344
16,Chris Buescher,467,-369
17,Michael McDowell,436,-400
18,Matt DiBenedetto,425,-411
19,Ross Chastain,418,-418
20,Bubba Wallace,415,-421
21,Ricky Stenhouse Jr,402,-434
