Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,41,41,,
yellow_flag,42,45,4,competition,#14
green_flag,46,68,23,,
yellow_flag,69,83,15,rain,#34
green_flag,84,87,4,,
yellow_flag,88,92,5,"#2,12,38 accident turn 3",#41
green_flag,93,121,29,,
yellow_flag,122,128,7,end of stage 1,#42
green_flag,129,156,28,,
yellow_flag,157,163,7,#5 accident frontstretch,#21
green_flag,164,189,26,,
yellow_flag,190,194,5,"#16,45 accident backstretch",#5
green_flag,195,196,2,,
yellow_flag,197,200,4,"#22,43 accident turn 1",#20
green_flag,201,242,42,,
yellow_flag,243,247,5,"#11,51 accident frontstretch",#3
green_flag,248,251,4,,
yellow_flag,252,257,6,end of stage 2,#8
green_flag,258,324,67,,
yellow_flag,325,330,6,debris backstretch,#14
green_flag,331,334,4,,
yellow_flag,335,339,5,"#7,99 accident turn 4",#41
green_flag,340,342,3,,
yellow_flag,343,347,5,#8 accident backstretch,none
green_flag,348,399,52,,
yellow_flag,400,400,1,#19 spun backstretch,none
Percent of race run under caution: 18.8%             Average green flag run: 25.0 laps
