Rank,Driver,Points,Diff
1,Chase Elliott,418,
2,Ryan Blaney,368,-50
3,William Byron,353,-65
3,Kyle Busch,353,-65
5,Alex Bowman,349,-69
6,Ross Chastain,338,-80
7,Martin Truex Jr,336,-82
8,Kyle Larson,335,-83
9,Joey Logano,316,-102
10,Christopher Bell,284,-134
11,Aric Almirola,283,-135
12,Kevin Harvick,280,-138
13,Chase Briscoe,270,-148
14,Erik Jones,262,-156
15,Austin Dillon,259,-159
16,Tyler Reddick,249,-169
17,Daniel Suarez,241,-177
18,Austin Cindric,239,-179
19,Chris Buescher,230,-188
20,Kurt Busch,224,-194
21,Bubba Wallace,214,-204
