Rank,Driver,Wins,Points
1,William Byron,2,353
2,Ross Chastain,2,338
3,Chase Elliott,1,418
4,Kyle Busch,1,353
5,Alex Bowman,1,349
6,Kyle Larson,1,335
7,Chase Briscoe,1,270
8,Austin Cindric,1,239
9,Denny Hamlin,1,204
10,Ryan Blaney,0,368
11,Martin Truex Jr,0,336
12,Joey Logano,0,316
13,Christopher Bell,0,284
14,Aric Almirola,0,283
15,Kevin Harvick,0,280
16,Erik Jones,0,262
