Rank,Driver,Points,Diff
1,Kevin Harvick,916,
2,Brad Keselowski,779,-137
3,Denny Hamlin,776,-140
4,Ryan Blaney,741,-175
5,Chase Elliott,721,-195
6,Joey Logano,717,-199
7,Martin Truex Jr,716,-200
8,Aric Almirola,669,-247
9,Kyle Busch,651,-265
10,Kurt Busch,648,-268
11,Alex Bowman,585,-331
12,Clint Bowyer,571,-345
13,Matt DiBenedetto,568,-348
14,William Byron,537,-379
15,Jimmie Johnson,511,-405
15,Erik Jones,511,-405
17,Austin Dillon,501,-415
17,Tyler Reddick,501,-415
19,Christopher Bell,415,-501
20,Bubba Wallace,400,-516
21,Cole Custer,396,-520
