Rank,Driver,Wins,Points
1,Kevin Harvick,3,534
2,Denny Hamlin,3,465
3,Joey Logano,2,487
4,Brad Keselowski,2,472
5,Ryan Blaney,1,505
6,Chase Elliott,1,477
7,Martin Truex Jr,1,463
8,Alex Bowman,1,436
9,Kyle Busch,0,420
10,Kurt Busch,0,393
11,Aric Almirola,0,390
12,Jimmie Johnson,0,369
13,Clint Bowyer,0,358
14,Matt DiBenedetto,0,346
15,William Byron,0,342
16,Tyler Reddick,0,313
