Rank,Driver,Points,Diff
1,Kevin Harvick,534,
2,Ryan Blaney,505,-29
3,Joey Logano,487,-47
4,Chase Elliott,477,-57
5,Brad Keselowski,472,-62
6,Denny Hamlin,465,-69
7,Martin Truex Jr,463,-71
8,Alex Bowman,436,-98
9,Kyle Busch,420,-114
10,Kurt Busch,393,-141
11,Aric Almirola,390,-144
12,Jimmie Johnson,369,-165
13,Clint Bowyer,358,-176
14,Matt DiBenedetto,346,-188
15,William Byron,342,-192
16,Tyler Reddick,313,-221
17,Erik Jones,307,-227
18,Austin Dillon,300,-234
19,Chris Buescher,293,-241
20,Ricky Stenhouse Jr,283,-251
21,Bubba Wallace,273,-261
