Rank,Driver,Points,Diff
1,Joey Logano,746,
2,Kyle Busch,735,-11
3,Kevin Harvick,645,-101
4,Brad Keselowski,630,-116
5,Denny Hamlin,627,-119
6,Martin Truex Jr,618,-128
6,Kurt Busch,618,-128
8,Chase Elliott,607,-139
9,Alex Bowman,554,-192
10,Aric Almirola,542,-204
11,Ryan Blaney,535,-211
12,William Byron,517,-229
13,Kyle Larson,511,-235
14,Clint Bowyer,481,-265
14,Jimmie Johnson,481,-265
16,Erik Jones,473,-273
17,Ryan Newman,471,-275
18,Daniel Suarez,469,-277
19,Ricky Stenhouse Jr,427,-319
20,Paul Menard,419,-327
21,Chris Buescher,396,-350
