Rank,Driver,Wins,Points
1,Kyle Busch,4,735
2,Martin Truex Jr,4,618
3,Brad Keselowski,3,630
4,Joey Logano,2,746
5,Denny Hamlin,2,627
6,Kurt Busch,1,618
7,Chase Elliott,1,607
8,Alex Bowman,1,554
9,Kevin Harvick,0,645
10,Aric Almirola,0,542
11,Ryan Blaney,0,535
12,William Byron,0,517
13,Kyle Larson,0,511
14,Jimmie Johnson,0,481
14,Clint Bowyer,0,481
16,Erik Jones,0,473
