Rank,Driver,Points,Diff
1,Chase Elliott,3040,
2,Joey Logano,3025,-15
3,Ross Chastain,3020,-20
4,Kyle Larson,3019,-21
5,William Byron,3015,-25
6,Denny Hamlin,3013,-27
6,Christopher Bell,3013,-27
6,Ryan Blaney,3013,-27
9,Chase Briscoe,3009,-31
10,Alex Bowman,3007,-33
10,Daniel Suarez,3007,-33
12,Austin Cindric,3006,-34
13,Tyler Reddick,2067,-973
13,Kyle Busch,2067,-973
15,Austin Dillon,2058,-982
16,Kevin Harvick,2045,-995
17,Martin Truex Jr,861,-2179
18,Erik Jones,658,-2382
19,Bubba Wallace,645,-2395
20,Aric Almirola,627,-2413
21,Chris Buescher,599,-2441
