Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,42,42,,
yellow_flag,43,49,7,debris backstretch,#51
green_flag,50,92,43,,
yellow_flag,93,99,7,#10 accident turn 4,#51
green_flag,100,126,27,,
yellow_flag,127,133,7,end of stage 1,#21
green_flag,134,139,6,,
yellow_flag,140,145,6,#21 spun frontstretch,#77
green_flag,146,196,51,,
yellow_flag,197,205,9,#43 spun backstretch,#21
green_flag,206,234,29,,
yellow_flag,235,240,6,#11 slow frontstretch,#7
green_flag,241,251,11,,
yellow_flag,252,259,8,end of stage 2,#42
green_flag,260,270,11,,
yellow_flag,271,276,6,fluid on track,#51
green_flag,277,277,1,,
yellow_flag,278,286,9,"#99,47,3,8,38,48,2,9,77,1,21,14 accident backstretch",#43
green_flag,287,352,66,,
yellow_flag,353,360,8,debris turn 2,#14
green_flag,361,436,76,,
yellow_flag,437,443,7,#20 slow backstretch,#31
green_flag,444,500,57,,
Percent of race run under caution: 16.0%             Average green flag run: 35.0 laps
