driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Joey Logano,10,12,1,1,26,7,12,91,79,51,56.0,4,259,97.0,6,2.2,267,111.9
Christopher Bell,1,7,2,1,12,2,8,50,42,38,76.0,72,267,100.0,155,58.1,267,138.4
Daniel Suarez,23,1,3,1,34,12,27,126,99,37,29.4,2,173,64.8,57,21.3,267,89.7
William Byron,9,10,4,1,23,7,-1,108,109,73,67.6,20,265,99.3,1,0.4,267,115.9
Alex Bowman,3,13,5,2,30,7,-7,89,96,52,58.4,17,260,97.4,0,0.0,267,111.3
Martin Truex Jr,12,9,6,1,29,7,3,113,110,64,56.6,9,254,95.1,7,2.6,267,106.4
Ross Chastain,7,29,7,2,30,12,1,123,122,68,55.3,8,206,77.2,0,0.0,267,98.8
Denny Hamlin,4,25,8,1,31,14,-23,105,128,30,28.6,4,147,55.1,4,1.5,267,81.5
John H. Nemechek,26,17,9,4,35,18,4,122,118,33,27.0,0,115,43.1,0,0.0,267,72.3
Chris Buescher,22,11,10,2,26,10,5,125,120,42,33.6,5,246,92.1,0,0.0,267,95.5
Kyle Larson,5,31,11,1,35,16,13,112,99,42,37.5,15,152,56.9,1,0.4,267,92.7
Bubba Wallace,19,16,12,3,33,14,17,141,124,50,35.5,5,141,52.8,0,0.0,267,80.7
Kyle Busch,20,14,13,6,31,14,-9,130,139,55,42.3,0,169,63.3,0,0.0,267,78.3
Corey LaJoie,35,3,14,2,36,20,27,129,102,18,14.0,0,90,33.7,0,0.0,267,58.5
Harrison Burton,31,23,15,7,35,22,14,148,134,22,14.9,1,31,11.6,0,0.0,267,60.7
Zane Smith,14,21,16,8,34,20,-21,127,148,26,20.5,0,54,20.2,0,0.0,267,63.2
Justin Haley,16,15,17,4,27,13,-6,125,131,39,31.2,2,148,55.4,0,0.0,267,75.0
Noah Gragson,21,24,18,6,32,18,3,131,128,33,25.2,2,82,30.7,0,0.0,267,65.2
Daniel Hemric,33,20,19,4,34,21,1,150,149,23,15.3,0,30,11.2,0,0.0,267,56.3
Michael McDowell,15,2,20,2,37,18,-9,107,116,19,17.8,1,77,28.8,0,0.0,267,55.7
Cody Ware,36,6,21,2,36,24,8,103,95,20,19.4,0,64,24.0,0,0.0,267,43.5
Ryan Preece,32,19,22,3,37,20,3,125,122,46,36.8,11,128,48.1,0,0.0,266,62.7
Carson Hocevar,6,18,23,5,29,18,-28,114,142,29,25.4,1,69,25.9,0,0.0,266,60.2
Josh Berry,28,26,24,8,33,25,-13,135,148,5,3.7,0,7,2.6,0,0.0,266,46.5
Erik Jones,27,22,25,1,36,27,11,92,81,0,0.0,0,1,0.4,0,0.0,266,38.8
Chase Briscoe,24,4,26,4,37,26,-8,95,103,12,12.6,5,40,15.0,0,0.0,266,40.1
Ricky Stenhouse Jr,25,27,27,6,31,24,-16,108,124,4,3.7,0,13,4.9,0,0.0,266,46.8
Jimmie Johnson,29,28,28,13,37,28,-10,102,112,1,1.0,0,0,0.0,0,0.0,265,34.2
Shane Van Gisbergen,34,5,29,3,37,29,-7,99,106,12,12.1,0,20,7.5,0,0.0,265,37.2
Ty Gibbs,8,30,30,1,31,19,-20,91,111,36,39.6,14,121,45.8,23,8.7,264,82.5
Todd Gilliland,30,8,31,7,35,28,-12,93,105,9,9.7,0,18,6.8,0,0.0,263,36.0
Ryan Blaney,37,32,32,1,37,28,22,80,58,5,6.3,9,11,4.2,4,1.5,259,42.0
Chase Elliott,18,33,33,2,33,25,6,62,56,36,58.1,1,89,38.7,0,0.0,230,62.1
Austin Cindric,11,34,34,6,34,26,6,51,45,37,72.5,1,86,89.6,0,0.0,96,58.7
Tyler Reddick,2,35,35,1,16,24,6,17,11,16,94.1,19,89,100.0,9,10.1,89,84.6
Brad Keselowski,17,36,36,2,35,28,8,70,62,30,42.9,1,83,93.3,0,0.0,89,52.8
Austin Dillon,13,37,37,13,33,34,-15,35,50,0,0.0,0,0,0.0,0,0.0,61,27.5
