Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,63,63,,
yellow_flag,64,71,8,"#3,31 accident turn 3",#43
green_flag,72,81,10,,
yellow_flag,82,87,6,end of stage 1,#14
green_flag,88,89,2,,
yellow_flag,90,96,7,"#45,9,6,12 accident frontstretch",#43
green_flag,97,166,70,,
yellow_flag,167,172,6,end of stage 2,#4
green_flag,173,193,21,,
yellow_flag,194,198,5,#54 spun backstretch,#5
green_flag,199,267,69,,
Percent of race run under caution: 12.0%             Average green flag run: 39.2 laps
