Leader,From Lap,To Lap,# Of Laps
Kyle Larson,1,6,6
Joey Logano,7,7,1
Kyle Larson,8,31,24
Joey Logano,32,32,1
J.J. Yeley,33,33,1
Joey Logano,34,61,28
Kyle Busch,62,79,18
Joey Logano,80,93,14
Cody Ware,94,94,1
Joey Logano,95,135,41
Kyle Busch,136,136,1
Erik Jones,137,137,1
Kevin Harvick,138,138,1
"Martin Truex, Jr.",139,165,27
Ross Chastain,166,191,26
Denny Hamlin,192,199,8
Joey Logano,200,208,9
Denny Hamlin,209,242,34
"Martin Truex, Jr.",243,243,1
Christopher Bell,244,246,3
Tyler Reddick,247,256,10
Joey Logano,257,267,11
William Byron,268,291,24
Joey Logano,292,293,2
