Rank,Driver,Points,Diff
1,Chase Elliott,453,
2,William Byron,388,-65
2,Ryan Blaney,388,-65
4,Joey Logano,374,-79
5,Ross Chastain,364,-89
5,Kyle Busch,364,-89
5,Martin Truex Jr,364,-89
8,Alex Bowman,357,-96
9,Kyle Larson,336,-117
10,Christopher Bell,327,-126
11,Kevin Harvick,313,-140
12,Aric Almirola,311,-142
13,Chase Briscoe,287,-166
13,Austin Dillon,287,-166
15,Tyler Reddick,286,-167
16,Erik Jones,282,-171
17,Daniel Suarez,269,-184
18,Austin Cindric,258,-195
19,Chris Buescher,251,-202
20,Justin Haley,243,-210
21,Kurt Busch,233,-220
