Rank,Driver,Wins,Points
1,Kyle Larson,4,759
2,Martin Truex Jr,3,606
3,Alex Bowman,3,543
4,Kyle Busch,2,650
5,William Byron,1,690
6,Joey Logano,1,651
7,Chase Elliott,1,633
8,Ryan Blaney,1,586
9,Brad Keselowski,1,569
10,Christopher Bell,1,424
11,Michael McDowell,1,419
12,Denny Hamlin,0,761
13,Kevin Harvick,0,585
14,Austin Dillon,0,518
15,Tyler Reddick,0,475
16,Kurt Busch,0,430
