Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,5,5,,
yellow_flag,6,11,6,"#3,21,36,41,42,77,84 accident frontstretch",none
green_flag,12,66,55,,
yellow_flag,67,70,4,end of stage 1,#16
green_flag,71,131,61,,
yellow_flag,132,136,5,end of stage 2,#54
green_flag,137,192,56,,
yellow_flag,193,196,4,"#2,5,6,9,10,11,12,14,17,19,20,22,24,31,38,41,43,45,47,48,54,62,99, accident backstretch",none
green_flag,197,199,3,,
yellow_flag,200,200,1,"#1,2 accident frontstretch",none
Percent of race run under caution: 10.0%             Average green flag run: 36.0 laps
