Leader,From Lap,To Lap,# Of Laps
Joey Logano,1,1,1
Michael McDowell,2,2,1
Joey Logano,3,3,1
Michael McDowell,4,4,1
Joey Logano,5,8,4
Christopher Bell,9,30,22
Ryan Blaney,31,39,9
Michael McDowell,40,43,4
Josh Berry,44,44,1
Chase Elliott,45,54,10
Bubba Wallace,55,55,1
Noah Gragson,56,60,5
David Ragan,61,62,2
Kyle Busch,63,64,2
Chase Elliott,65,67,3
Brad Keselowski,68,68,1
Kyle Larson,69,71,3
Joey Logano,72,92,21
Todd Gilliland,93,108,16
Kyle Busch,109,113,5
Kyle Larson,114,117,4
Austin Cindric,118,122,5
Kyle Busch,123,123,1
Austin Cindric,124,128,5
Kyle Busch,129,129,1
Ryan Blaney,130,132,3
Brad Keselowski,133,134,2
Austin Cindric,135,136,2
Bubba Wallace,137,137,1
Austin Cindric,138,138,1
Bubba Wallace,139,139,1
A.J. Allmendinger,140,148,9
Kyle Busch,149,150,2
Corey LaJoie,151,151,1
Denny Hamlin,152,152,1
Kyle Busch,153,153,1
Denny Hamlin,154,162,9
Joey Logano,163,180,18
Ross Chastain,181,185,5
Daniel Suarez,186,187,2
Ross Chastain,188,196,9
William Byron,197,200,4
