Rank,Driver,Points,Diff
1,William Byron,54,
2,Alex Bowman,50,-4
3,Christopher Bell,44,-10
4,Chase Elliott,42,-12
5,Bubba Wallace,39,-15
6,John H. Nemechek,37,-17
6,Kyle Larson,37,-17
6,Kyle Busch,37,-17
9,Erik Jones,35,-19
10,Corey LaJoie,33,-21
10,Austin Cindric,33,-21
12,Denny Hamlin,30,-24
13,Chase Briscoe,29,-25
13,Zane Smith,29,-25
15,Noah Gragson,28,-26
16,Martin Truex Jr,24,-30
16,Ross Chastain,24,-30
16,Tyler Reddick,24,-30
19,Ty Gibbs,23,-31
20,Daniel Hemric,21,-33
20,Chris Buescher,21,-33
