Rank,Driver,Wins,Points
1,William Byron,1,54
2,Alex Bowman,0,50
3,Christopher Bell,0,44
4,Chase Elliott,0,42
5,Bubba Wallace,0,39
6,Kyle Larson,0,37
6,Kyle Busch,0,37
6,John H. Nemechek,0,37
9,Erik Jones,0,35
10,Austin Cindric,0,33
10,Corey LaJoie,0,33
12,Denny Hamlin,0,30
13,Chase Briscoe,0,29
13,Zane Smith,0,29
15,Noah Gragson,0,28
16,Martin Truex Jr,0,24
