Leader,From Lap,To Lap,# Of Laps
Aric Almirola,1,6,6
Chase Briscoe,7,7,1
Bubba Wallace,8,30,23
Daniel Suarez,31,34,4
Kyle Busch,35,35,1
Ross Chastain,36,38,3
Ryan Preece,39,40,2
Erik Jones,41,43,3
Chase Elliott,44,47,4
Alex Bowman,48,52,5
Chase Elliott,53,55,3
Alex Bowman,56,56,1
Chase Elliott,57,57,1
Alex Bowman,58,59,2
Chase Elliott,60,62,3
B.J. McLeod,63,63,1
Denny Hamlin,64,70,7
Kevin Harvick,71,76,6
Joey Logano,77,77,1
Martin Truex Jr,78,82,5
Joey Logano,83,83,1
Martin Truex Jr,84,84,1
Joey Logano,85,85,1
Martin Truex Jr,86,97,12
Bubba Wallace,98,99,2
Kevin Harvick,100,104,5
Brad Keselowski,105,106,2
Chase Elliott,107,107,1
Martin Truex Jr,108,108,1
Chase Elliott,109,109,1
Bubba Wallace,110,114,5
Chase Elliott,115,119,5
Aric Almirola,120,122,3
William Byron,123,123,1
Aric Almirola,124,125,2
Bubba Wallace,126,126,1
Harrison Burton,127,130,4
Ryan Blaney,131,131,1
Harrison Burton,132,137,6
Ryan Blaney,138,140,3
Harrison Burton,141,141,1
Ryan Blaney,142,143,2
Daniel Suarez,144,144,1
Ryan Blaney,145,146,2
Bubba Wallace,147,149,3
Ryan Blaney,150,154,5
Ty Gibbs,155,156,2
Ryan Blaney,157,168,12
Ty Gibbs,169,169,1
Ryan Blaney,170,179,10
Ty Gibbs,180,180,1
Ryan Blaney,181,188,8
Noah Gragson,189,189,1
Ryan Blaney,190,193,4
Kyle Busch,194,194,1
Bubba Wallace,195,195,1
Kyle Busch,196,196,1
