Rank,Driver,Wins,Points
1,Christopher Bell,1,331
2,Ross Chastain,0,319
3,Kevin Harvick,0,311
4,Kyle Larson,2,295
5,Kyle Busch,2,290
6,Tyler Reddick,1,286
7,Martin Truex Jr,0,281
8,Ryan Blaney,0,276
9,Denny Hamlin,0,270
9,Alex Bowman,0,270
11,Joey Logano,1,268
12,Brad Keselowski,0,267
13,Ricky Stenhouse Jr,1,247
14,William Byron,2,245
15,Chase Briscoe,0,243
16,Chris Buescher,0,240
