Rank,Driver,Points,Diff
1,Christopher Bell,331,
2,Ross Chastain,319,-12
3,Kevin Harvick,311,-20
4,Kyle Larson,295,-36
5,Kyle Busch,290,-41
6,Tyler Reddick,286,-45
7,Martin Truex Jr,281,-50
8,Ryan Blaney,276,-55
9,Denny Hamlin,271,-60
10,Alex Bowman,270,-61
11,Joey Logano,268,-63
12,Brad Keselowski,267,-64
13,Ricky Stenhouse Jr,247,-84
14,William Byron,244,-87
15,Chase Briscoe,243,-88
16,Chris Buescher,240,-91
17,Daniel Suarez,229,-102
18,Austin Cindric,213,-118
19,Michael McDowell,202,-129
20,Ty Gibbs,199,-132
21,Bubba Wallace,191,-140
