Rank,Driver,Wins,Points
1,Denny Hamlin,1,87
2,Brad Keselowski,1,72
3,Kevin Harvick,0,79
4,Kyle Busch,0,78
5,Kyle Larson,0,77
6,Joey Logano,0,75
7,Erik Jones,0,68
8,Kurt Busch,0,63
9,Clint Bowyer,0,60
9,Ricky Stenhouse Jr,0,60
11,Aric Almirola,0,58
12,Alex Bowman,0,57
12,Martin Truex Jr,0,57
14,Ryan Blaney,0,54
15,Ryan Newman,0,49
16,Jimmie Johnson,0,46
