Rank,Driver,Points,Diff
1,Denny Hamlin,87,
2,Kevin Harvick,79,-8
3,Kyle Busch,78,-9
4,Kyle Larson,77,-10
5,Joey Logano,75,-12
6,Brad Keselowski,72,-15
7,Erik Jones,68,-19
8,Kurt Busch,63,-24
9,Clint Bowyer,60,-27
9,Ricky Stenhouse Jr,60,-27
11,Aric Almirola,58,-29
12,Martin Truex Jr,57,-30
12,Alex Bowman,57,-30
14,Ryan Blaney,54,-33
15,Ryan Newman,49,-38
16,Jimmie Johnson,46,-41
17,William Byron,45,-42
17,Chase Elliott,45,-42
19,Ty Dillon,44,-43
20,Daniel Suarez,41,-46
21,Paul Menard,39,-48
