Leader,From Lap,To Lap,# Of Laps
"Ricky Stenhouse, Jr.",1,1,1
Aric Almirola,2,37,36
Kyle Larson,38,87,50
"Martin Truex, Jr.",88,88,1
Kevin Harvick,89,91,3
Kyle Larson,92,92,1
Kevin Harvick,93,111,19
Kyle Larson,112,125,14
Kevin Harvick,126,126,1
Joey Logano,127,128,2
Kyle Larson,129,152,24
Kevin Harvick,153,153,1
Kyle Larson,154,161,8
Kevin Harvick,162,172,11
"Martin Truex, Jr.",173,173,1
Kevin Harvick,174,177,4
Kyle Larson,178,220,43
"Martin Truex, Jr.",221,221,1
Kyle Larson,222,223,2
"Martin Truex, Jr.",224,224,1
Kevin Harvick,225,230,6
Ryan Blaney,231,271,41
Joey Logano,272,282,11
Kurt Busch,283,283,1
Joey Logano,284,292,9
Brad Keselowski,293,325,33
