Rank,Driver,Wins,Points
1,Chase Elliott,3,684
2,Ross Chastain,2,634
3,Joey Logano,2,562
4,William Byron,2,505
5,Denny Hamlin,2,409
6,Kyle Larson,1,579
7,Kyle Busch,1,569
8,Alex Bowman,1,508
9,Austin Cindric,1,465
10,Tyler Reddick,1,458
11,Daniel Suarez,1,451
12,Kurt Busch,1,449
13,Chase Briscoe,1,443
14,Ryan Blaney,0,637
15,Martin Truex Jr,0,566
16,Christopher Bell,0,523
