Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,1,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,260,running,96,60,7
2,2,1,Ross Chastain,Jockey   (Trackhouse Racing),Chevrolet,260,running,32,45,0
3,5,2,Austin Cindric,Menards  Quaker State   (Roger Penske),Ford,260,running,7,34,0
4,25,43,Erik Jones,FOCUSfactor   (Petty GMS Motorsports),Chevrolet,260,running,10,33,0
5,6,12,Ryan Blaney,Wabash   (Roger Penske),Ford,260,running,2,46,0
6,7,99,Daniel Suarez,Freeway Insurance   (Trackhouse Racing),Chevrolet,260,running,0,31,0
7,24,31,Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,260,running,0,30,0
8,22,10,Aric Almirola,Ford Pro   (Stewart Haas Racing),Ford,260,running,0,29,0
9,18,41,Cole Custer,HaasTooling.com   (Stewart Haas Racing),Ford,260,running,0,28,0
10,27,21,Harrison Burton,Freightliner   (Wood Brothers),Ford,260,running,9,31,0
11,9,19,Martin Truex Jr,Auto-Owners Insurance   (Joe Gibbs),Toyota,260,running,27,26,0
12,10,4,Kevin Harvick,Hunt Brothers Pizza   (Stewart Haas Racing),Ford,260,running,0,25,0
13,3,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,260,running,0,26,0
14,32,23,Bubba Wallace,Leidos   (23XI Racing),Toyota,260,running,0,23,0
15,12,34,Michael McDowell,Fr8Auctions.com   (Bob Jenkins),Ford,260,running,0,22,0
16,14,14,Chase Briscoe,Rush Truck Centers / Cummins   (Stewart Haas Racing),Ford,260,running,0,21,0
17,28,38,Todd Gilliland,YANMAR   (Bob Jenkins),Ford,260,running,0,20,0
18,31,6,Brad Keselowski,Solomon Plumbing   (Jack Roush),Ford,260,running,0,27,0
19,15,20,Christopher Bell,Rheem   (Joe Gibbs),Toyota,260,running,0,24,0
20,19,18,Kyle Busch,M&M's Crunchy Cookie   (Joe Gibbs),Toyota,260,running,0,22,0
21,30,7,Corey LaJoie,Raze Energy   (Spire Motorsports),Chevrolet,260,running,19,17,0
22,21,45,Kurt Busch,Monster Energy   (23XI Racing),Toyota,259,crash,0,25,0
23,34,51,Cody Ware,Rick Ware,Ford,259,running,0,14,0
24,36,77,Landon Cassill,Voyager: Crypto for All   (Spire Motorsports),Chevrolet,259,running,0,0,0
25,16,11,Denny Hamlin,Coca-Cola   (Joe Gibbs),Toyota,259,running,2,15,0
26,17,22,Joey Logano,AutoTrader   (Roger Penske),Ford,252,dvp,0,11,0
27,33,15,Garrett Smithley,True Brands   (Rick Ware),Ford,252,running,0,0,0
28,23,42,Ty Dillon,Allegiant   (Petty GMS Motorsports),Chevrolet,174,dvp,0,9,0
29,4,8,Tyler Reddick,Alsco Uniforms   (Richard Childress),Chevrolet,170,crash,13,17,0
30,13,24,William Byron,Axalta   (Rick Hendrick),Chevrolet,170,crash,41,16,0
31,20,47,Ricky Stenhouse Jr,Kroger/ Ball Park   (JTG-Daugherty Racing),Chevrolet,162,engine,2,6,0
32,8,48,Alex Bowman,Ally Milestone   (Rick Hendrick),Chevrolet,160,dvp,0,14,0
33,11,17,Chris Buescher,Fastenal   (Jack Roush),Ford,107,crash,0,4,0
34,29,16,Noah Gragson,Gold Fish Casino Slots   (Matthew Kaulig),Chevrolet,91,suspension,0,0,0
35,26,3,Austin Dillon,Bass Pro Shops / Tracker Off Road   (Richard Childress),Chevrolet,90,crash,0,2,0
36,35,78,B.J. McLeod,Blaster   (B.J. McLeod),Ford,77,crash,0,0,0
