Leader,From Lap,To Lap,# Of Laps
Ross Chastain,1,1,1
Chase Elliott,2,2,1
Ross Chastain,3,21,19
Denny Hamlin,22,23,2
Ryan Blaney,24,24,1
Chase Elliott,25,50,26
Ryan Blaney,51,51,1
Chase Elliott,52,63,12
Tyler Reddick,64,69,6
"Martin Truex, Jr.",70,86,17
Chase Elliott,87,94,8
Harrison Burton,95,98,4
"Ricky Stenhouse, Jr.",99,100,2
Harrison Burton,101,105,5
William Byron,106,146,41
Tyler Reddick,147,153,7
Chase Elliott,154,162,9
Austin Cindric,163,169,7
Erik Jones,170,179,10
Ross Chastain,180,191,12
Corey LaJoie,192,201,10
Chase Elliott,202,202,1
Corey LaJoie,203,204,2
Chase Elliott,205,241,37
"Martin Truex, Jr.",242,251,10
Corey LaJoie,252,258,7
Chase Elliott,259,260,2
