Rank,Driver,Points,Diff
1,Chase Elliott,684,
2,Ryan Blaney,637,-47
3,Ross Chastain,634,-50
4,Kyle Larson,579,-105
5,Kyle Busch,569,-115
6,Martin Truex Jr,566,-118
7,Joey Logano,562,-122
8,Christopher Bell,523,-161
9,Alex Bowman,508,-176
10,William Byron,505,-179
11,Kevin Harvick,504,-180
12,Aric Almirola,481,-203
13,Austin Cindric,465,-219
14,Tyler Reddick,458,-226
15,Daniel Suarez,451,-233
16,Kurt Busch,449,-235
17,Erik Jones,447,-237
18,Chase Briscoe,443,-241
19,Denny Hamlin,409,-275
20,Austin Dillon,407,-277
21,Michael McDowell,406,-278
