Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,26,26,,
yellow_flag,27,30,4,competition,none
green_flag,31,61,31,,
yellow_flag,62,66,5,end of stage 1,#15
green_flag,67,78,12,,
yellow_flag,79,83,5,"#78,17,42 accident backstretch",none
green_flag,84,91,8,,
yellow_flag,92,98,7,"#22,3,19,1,34,18,5,20 accident turn 2",#17
green_flag,99,107,9,,
yellow_flag,108,112,5,#17 accident turn 4,#5
green_flag,113,137,25,,
yellow_flag,138,142,5,#14 spun turn 2,#15
green_flag,143,159,17,,
yellow_flag,160,165,6,#48 accident 4/stage 2 conclusion,#18
green_flag,166,170,5,,
yellow_flag,171,176,6,"#15,42,8,24,23,38,6,5,77 accident turn 3",#22
green_flag,177,189,13,,
yellow_flag,190,194,5,"#18,51 spun turn 2",#23
green_flag,195,236,42,,
yellow_flag,237,241,5,#20 spun frontstretch,#34
green_flag,242,246,5,,
yellow_flag,247,252,6,"#1,11,6,12 accident frontstretch",#20
green_flag,253,253,1,,
yellow_flag,254,257,4,"#22,11 accident backstretch",#18
green_flag,258,259,2,,
yellow_flag,260,260,1,"#7,45,41 accident backstretch",none
Percent of race run under caution: 24.6%             Average green flag run: 15.1 laps
