Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,71,71,,
yellow_flag,72,77,6,end of stage 1,#2
green_flag,78,142,65,,
yellow_flag,143,148,6,#31 spun turn 2,#43
green_flag,149,154,6,,
yellow_flag,155,159,5,"#8,10 accident turn 2",#3
green_flag,160,186,27,,
yellow_flag,187,193,7,end of stage 2,#8
green_flag,194,194,1,,
yellow_flag,195,199,5,"#9,22, accident turn 2",#15
green_flag,200,201,2,,
yellow_flag,202,205,4,#7 spun backstretch,#16
green_flag,206,210,5,,
yellow_flag,211,214,4,#19 accident turn 4,#7
green_flag,215,216,2,,
yellow_flag,217,228,12,#8 accident backstretch,#42
green_flag,229,235,7,,
yellow_flag,236,241,6,#1 spun turn 4,#42
green_flag,242,256,15,,
yellow_flag,257,262,6,#7 spun turn 2,#99
green_flag,263,265,3,,
yellow_flag,266,274,9,"#3,10,2,23,43 accident turn 1",#7
green_flag,275,284,10,,
yellow_flag,285,292,8,#77 spun turn 3,#99
green_flag,293,293,1,,
yellow_flag,294,297,4,"#34,12 accident turn 2",#10
green_flag,298,300,3,,
yellow_flag,301,303,3,#6 spun turn 2,#71
green_flag,304,305,2,,
Percent of race run under caution: 27.9%             Average green flag run: 14.7 laps
