Rank,Driver,Wins,Points
1,Chase Elliott,1,620
1,Kyle Larson,3,620
3,Denny Hamlin,3,580
4,Martin Truex Jr,0,572
5,Tyler Reddick,1,560
6,Christopher Bell,3,555
7,William Byron,3,548
8,Ryan Blaney,1,526
9,Ross Chastain,0,510
10,Brad Keselowski,1,507
11,Ty Gibbs,0,499
12,Alex Bowman,0,476
13,Chris Buescher,0,467
14,Joey Logano,0,430
15,Bubba Wallace,0,417
16,Chase Briscoe,0,405
