Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,3,4,Kevin Harvick,Busch Light Apple   (Stewart Haas Racing),Ford,161,running,92,60,7
2,5,2,Brad Keselowski,Discount Tire   (Roger Penske),Ford,161,running,0,47,0
3,12,19,Martin Truex Jr,Auto-Owners Insurance   (Joe Gibbs),Toyota,161,running,0,34,0
4,11,12,Ryan Blaney,Menards / Knauf   (Roger Penske),Ford,161,running,27,50,0
5,7,18,Kyle Busch,M&M's Fudge Brownie   (Joe Gibbs),Toyota,161,running,4,39,0
6,2,11,Denny Hamlin,FedEx Ground   (Joe Gibbs),Toyota,161,running,10,48,0
7,8,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,161,running,9,33,0
8,1,22,Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,161,running,18,29,0
9,24,43,Bubba Wallace,Victory Junction   (Richard Petty Motorsports),Chevrolet,161,running,0,28,0
10,10,1,Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,161,running,0,38,0
11,23,20,Erik Jones,Stanley   (Joe Gibbs),Toyota,161,running,0,38,0
12,17,48,Jimmie Johnson,"Ally ""Fueling Futures""   (Rick Hendrick)",Chevrolet,161,running,0,26,0
13,29,95,Christopher Bell,Procore   (Leavine Family Racing),Toyota,161,running,0,24,0
14,19,24,William Byron,Axalta   (Rick Hendrick),Chevrolet,161,running,0,23,0
15,15,21,Matt DiBenedetto,#FordStrong Technicians   (Wood Brothers),Ford,161,running,0,22,0
16,4,10,Aric Almirola,Smithfield Hometown Originals   (Stewart Haas Racing),Ford,161,running,0,21,0
17,20,42,Matt Kenseth,Credit One Bank   (Chip Ganassi),Chevrolet,161,running,0,20,0
18,14,8,Tyler Reddick,Chevy Accessories   (Richard Childress),Chevrolet,161,running,0,19,0
19,9,14,Clint Bowyer,DeKalb   (Stewart Haas Racing),Ford,161,running,0,20,0
20,22,17,Chris Buescher,Fastenal / Wypall   (Jack Roush),Ford,161,running,0,-3,0
21,6,88,Alex Bowman,ChevyGoods.com / Adam's Polishes   (Rick Hendrick),Chevrolet,161,running,0,23,0
22,36,32,Corey LaJoie,Schluter Systems   (Archie St. Hilaire),Ford,161,running,0,15,0
23,34,13,Ty Dillon,GEICO   (Germain Racing),Chevrolet,161,running,0,14,0
24,37,96,Daniel Suarez,Toyota   (Gaunt Brothers),Toyota,161,running,0,13,0
25,35,37,Ryan Preece,Honey Nut Cheerios   (JTG-Daugherty Racing),Chevrolet,161,running,0,12,0
26,26,27,J.J. Yeley,Rick Ware Racing   (Rick Ware),Ford,161,running,1,0,0
27,25,00,Quin Houff,Creek Enterprise   (StarCom Racing),Chevrolet,161,running,0,10,0
28,13,6,Ryan Newman,Coca-Cola   (Jack Roush),Ford,161,running,0,-11,0
29,21,34,Michael McDowell,Martin Transportation Systems   (Bob Jenkins),Ford,161,running,0,8,0
30,30,74,Reed Sorenson,Fake Steak   (Spire Motorsports),Chevrolet,161,running,0,7,0
31,18,3,Austin Dillon,Dow Mobility Science   (Richard Childress),Chevrolet,161,running,0,6,0
32,32,47,Ricky Stenhouse Jr,Kroger / Planters / Slim Jim / NOS   (JTG-Daugherty Racing),Chevrolet,161,running,0,6,0
33,38,66,Timmy Hill,SBC Contractors   (Carl Long),Toyota,159,running,0,0,0
34,16,41,Cole Custer,HaasTooling.com / Jacob Companies   (Stewart Haas Racing),Ford,148,crash,0,3,0
35,33,53,Garrett Smithley,Victory Lane Quick Oil Change / Kendall Oil   (Rick Ware),Ford,141,steering,0,0,0
36,31,38,John H. Nemechek,Death Wish Coffee   (Bob Jenkins),Ford,127,crash,0,1,0
37,27,15,Brennan Poole,Rick Ware Racing   (Rick Ware),Chevrolet,125,engine,0,1,0
38,28,51,James Davison,Signing Day Sports   (Rick Ware),Ford,103,running,0,1,0
39,39,7,Joey Gase,"Wisconsin Lighting Labs   (Tommy Baldwin, Jr.)",Chevrolet,58,transmission,0,0,0
