Rank,Driver,Points,Diff
1,Kevin Harvick,863,
2,Brad Keselowski,769,-94
3,Denny Hamlin,736,-127
4,Ryan Blaney,735,-128
5,Chase Elliott,693,-170
6,Joey Logano,682,-181
6,Martin Truex Jr,682,-181
8,Aric Almirola,635,-228
9,Kurt Busch,619,-244
10,Kyle Busch,602,-261
11,Alex Bowman,584,-279
12,Clint Bowyer,532,-331
13,Matt DiBenedetto,531,-332
14,William Byron,507,-356
15,Erik Jones,491,-372
16,Tyler Reddick,488,-375
17,Jimmie Johnson,485,-378
18,Austin Dillon,472,-391
19,Cole Custer,384,-479
19,Bubba Wallace,384,-479
21,Christopher Bell,379,-484
