Rank,Driver,Wins,Points
1,Kevin Harvick,5,863
2,Denny Hamlin,5,736
3,Brad Keselowski,3,769
4,Joey Logano,2,682
5,Ryan Blaney,1,735
6,Chase Elliott,1,693
7,Martin Truex Jr,1,682
8,Alex Bowman,1,584
9,Austin Dillon,1,472
10,Cole Custer,1,384
11,Aric Almirola,0,635
12,Kurt Busch,0,619
13,Kyle Busch,0,602
14,Clint Bowyer,0,532
15,Matt DiBenedetto,0,531
16,William Byron,0,507
