Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,16,16,,
yellow_flag,17,19,3,competition,#66
green_flag,20,41,22,,
yellow_flag,42,47,6,end of stage 1,#00
green_flag,48,86,39,,
yellow_flag,87,91,5,end of stage 2,#27
green_flag,92,93,2,,
yellow_flag,94,98,5,"#17,38 accident frontstretch",#19
green_flag,99,106,8,,
yellow_flag,107,110,4,#38 spun turn 4,#00
green_flag,111,131,21,,
yellow_flag,132,138,7,#38 accident turn 3,#00
green_flag,139,143,5,,
yellow_flag,144,147,4,"#8,37 accident turn 2",#74
green_flag,148,149,2,,
yellow_flag,150,153,4,#41 accident turn 3,#66
green_flag,154,154,1,,
yellow_flag,155,159,5,"#3,6,34,95 accident turn 4",#66
green_flag,160,161,2,,
Percent of race run under caution: 26.7%             Average green flag run: 11.8 laps
