Leader,From Lap,To Lap,# Of Laps
Joey Logano,1,32,32
Ryan Blaney,33,33,1
Joey Logano,34,78,45
Chase Elliott,79,79,1
Joey Logano,80,119,40
Chase Elliott,120,138,19
Jimmie Johnson,139,142,4
Matt DiBenedetto,143,143,1
Aric Almirola,144,150,7
Chase Elliott,151,163,13
Kurt Busch,164,167,4
Chase Elliott,168,172,5
Brad Keselowski,173,182,10
Chase Elliott,183,189,7
Brad Keselowski,190,195,6
Chase Elliott,196,260,65
"Ricky Stenhouse, Jr.",261,261,1
Joey Logano,262,269,8
Chase Elliott,270,312,43
