Rank,Driver,Points,Diff
1,Chase Elliott,5057,
2,Brad Keselowski,5052,-5
2,Joey Logano,5052,-5
4,Denny Hamlin,5049,-8
5,Kevin Harvick,2410,-2647
6,Alex Bowman,2371,-2686
7,Kyle Busch,2341,-2716
7,Martin Truex Jr,2341,-2716
9,Ryan Blaney,2336,-2721
10,Kurt Busch,2287,-2770
11,Austin Dillon,2277,-2780
12,Clint Bowyer,2254,-2803
13,Matt DiBenedetto,2249,-2808
14,William Byron,2247,-2810
15,Aric Almirola,2235,-2822
16,Cole Custer,2202,-2855
17,Erik Jones,873,-4184
18,Jimmie Johnson,836,-4221
19,Tyler Reddick,780,-4277
20,Christopher Bell,678,-4379
21,Chris Buescher,645,-4412
