Leader,From Lap,To Lap,# Of Laps
Joey Logano,1,27,27
"Martin Truex, Jr.",28,30,3
Kyle Busch,31,82,52
Denny Hamlin,83,96,14
"Martin Truex, Jr.",97,101,5
Brad Keselowski,102,104,3
"Martin Truex, Jr.",105,106,2
Brad Keselowski,107,114,8
"Martin Truex, Jr.",115,144,30
Ryan Blaney,145,158,14
Brad Keselowski,159,162,4
Ryan Blaney,163,163,1
Denny Hamlin,164,192,29
"Martin Truex, Jr.",193,196,4
William Byron,197,199,3
Denny Hamlin,200,200,1
William Byron,201,205,5
Brad Keselowski,206,220,15
William Byron,221,239,19
Alex Bowman,240,245,6
Kevin Harvick,246,254,9
Denny Hamlin,255,267,13
