Rank,Driver,Wins,Points
1,Denny Hamlin,5,634
2,Kevin Harvick,4,763
3,Brad Keselowski,2,666
4,Joey Logano,2,609
5,Ryan Blaney,1,663
6,Chase Elliott,1,630
7,Martin Truex Jr,1,602
8,Alex Bowman,1,539
9,Austin Dillon,1,438
10,Cole Custer,1,352
11,Aric Almirola,0,576
12,Kyle Busch,0,562
13,Kurt Busch,0,561
14,Clint Bowyer,0,484
15,Matt DiBenedetto,0,477
16,William Byron,0,452
