Rank,Driver,Points,Diff
1,Kevin Harvick,763,
2,Brad Keselowski,666,-97
3,Ryan Blaney,663,-100
4,Denny Hamlin,634,-129
5,Chase Elliott,630,-133
6,Joey Logano,609,-154
7,Martin Truex Jr,602,-161
8,Aric Almirola,576,-187
9,Kyle Busch,562,-201
10,Kurt Busch,561,-202
11,Alex Bowman,539,-224
12,Clint Bowyer,484,-279
13,Matt DiBenedetto,477,-286
14,William Byron,452,-311
15,Tyler Reddick,442,-321
16,Erik Jones,440,-323
17,Austin Dillon,438,-325
18,Jimmie Johnson,434,-329
19,Cole Custer,352,-411
19,Bubba Wallace,352,-411
21,Chris Buescher,345,-418
