Rank,Driver,Wins,Points
1,Ross Chastain,2,455
2,William Byron,2,420
3,Denny Hamlin,2,309
4,Chase Elliott,1,489
5,Kyle Busch,1,452
6,Joey Logano,1,423
7,Alex Bowman,1,415
8,Kyle Larson,1,412
9,Chase Briscoe,1,349
10,Austin Cindric,1,294
11,Kurt Busch,1,289
12,Ryan Blaney,0,436
13,Martin Truex Jr,0,430
14,Christopher Bell,0,400
15,Kevin Harvick,0,373
16,Tyler Reddick,0,350
